Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 27.29     27.70    27.70                             std::chrono::duration<float, std::ratio<1l, 1l> > std::chrono::__duration_cast_impl<std::chrono::duration<float, std::ratio<1l, 1l> >, std::ratio<1l, 1000000l>, float, true, false>::__cast<long, std::ratio<1l, 1000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
 20.15     48.15    20.45                             Physics::physicsUpdate()
 14.88     63.25    15.10                             std::chrono::duration<float, std::ratio<1l, 1l> >::duration<long, std::ratio<1l, 1000000l>, void>(std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
  9.80     73.20     9.95                             std::chrono::duration<float, std::ratio<1l, 1l> >::count() const
  6.73     80.03     6.83                             std::chrono::duration<float, std::ratio<1l, 1l> >::duration<float, void>(float const&)
  5.88     86.00     5.97                             _init
  4.96     91.03     5.03                             Multithreading::physics(sf::RenderWindow&)
  4.94     96.05     5.01                             sf::Time::asSeconds() const
  1.80     97.87     1.82                             std::chrono::duration<long, std::ratio<1l, 1000000l> >::count() const
  0.88     98.76     0.89                             std::enable_if<std::chrono::__is_duration<std::chrono::duration<float, std::ratio<1l, 1l> > >::value, std::chrono::duration<float, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<float, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
  0.70     99.47     0.71                             Physics::physicsCalc(Physics::PhysicsObj&)
  0.25     99.72     0.25                             ImFont::RenderText(ImDrawList*, float, ImVec2 const&, unsigned int, ImVec4 const&, char const*, char const*, float, bool)
  0.15     99.88     0.15                             Render::drawCube(float, float, float, bool, bool, bool, bool, bool, bool, float, float, float, float, float, float)
  0.08     99.95     0.08                             ImFont::FindGlyph(unsigned short)
  0.08    100.03     0.08                             Render::update(sf::RenderWindow&)
  0.05    100.09     0.06                             Physics::isStaticBlock(sf::Vector3<float>)
  0.05    100.14     0.05                             ImGui::UpdateKeyboardInputs()
  0.05    100.19     0.05                             ImFont::CalcTextSizeA(float, float, float, char const*, char const*, char const**)
  0.04    100.23     0.04                             ImHashStr(char const*, unsigned long, unsigned int)
  0.04    100.28     0.04                             ImDrawList::PrimRect(ImVec2 const&, ImVec2 const&, unsigned int)
  0.04    100.31     0.04                             ImGui::ColorConvertFloat4ToU32(ImVec4 const&)
  0.04    100.36     0.04                             ImGui::Begin(char const*, bool*, int)
  0.03    100.39     0.03                             ImDrawList::AddConvexPolyFilled(ImVec2 const*, int, unsigned int)
  0.02    100.41     0.02                             CalcWindowAutoFitSize(ImGuiWindow*, ImVec2 const&)
  0.02    100.42     0.02                             ImMax(ImVec2 const&, ImVec2 const&)
  0.02    100.44     0.02                             ImMin(ImVec2 const&, ImVec2 const&)
  0.02    100.47     0.02                             Multithreading::audio(sf::RenderWindow&)
  0.02    100.48     0.02                             ImGui::KeepAliveID(unsigned int)
  0.02    100.50     0.02                             ImGui::RenderFrame(ImVec2, ImVec2, unsigned int, bool, float)
  0.02    100.53     0.02                             ImGui::ScrollbarEx(ImRect const&, unsigned int, ImGuiAxis, long long*, long long, long long, int)
  0.02    100.55     0.02                             ImGui::SliderScalar(char const*, int, void*, void const*, void const*, char const*, int)
  0.02    100.56     0.02                             ImGui::GetCurrentWindow()
  0.02    100.58     0.02                             ImGui::FindRenderedTextEnd(char const*, char const*)
  0.02    100.61     0.02                             ImGui::NewFrame()
  0.02    100.62     0.02                             ImGui::UpdateWindowManualResize(ImGuiWindow*, ImVec2 const&, int*, int*, int, unsigned int*, ImRect const&)
  0.02    100.64     0.02                             __gnu_cxx::__normal_iterator<Render::BlockData*, std::vector<Render::BlockData, std::allocator<Render::BlockData> > >::operator++()
  0.01    100.66     0.01                             ImHashData(void const*, unsigned long, unsigned int)
  0.01    100.67     0.01                             ImGui::IsMouseHoveringRect(ImVec2 const&, ImVec2 const&, bool)
  0.01    100.69     0.01                             ImGui::UpdateWindowInFocusOrderList(ImGuiWindow*, bool, int)
  0.01    100.70     0.01                             ImVector<ImGuiWindow*>::begin()
  0.01    100.72     0.01                             std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.01    100.73     0.01                             float ImMax<float>(float, float)
  0.01    100.74     0.01                             float ImMin<float>(float, float)
  0.01    100.75     0.01                             ImSaturate(float)
  0.01    100.76     0.01                             stb__perlin_lerp(float, float, float)
  0.01    100.77     0.01                             CalcWindowContentSizes(ImGuiWindow*, ImVec2*, ImVec2*)
  0.01    100.78     0.01                             SetupDrawListSharedData()
  0.01    100.79     0.01                             ImDrawList::AddPolyline(ImVec2 const*, int, unsigned int, int, float)
  0.01    100.80     0.01                             ImDrawList::_PathArcToFastEx(ImVec2 const&, float, int, int, int)
  0.01    100.81     0.01                             ImDrawList::_ResetForNewFrame()
  0.01    100.82     0.01                             ImDrawList::_OnChangedTextureID()
  0.01    100.83     0.01                             ImDrawList::AddRect(ImVec2 const&, ImVec2 const&, unsigned int, float, int, float)
  0.01    100.84     0.01                             ImGuiMenuColumns::CalcNextTotalWidth(bool)
  0.01    100.85     0.01                             ImGui::InputTextEx(char const*, char const*, char*, int, ImVec2 const&, int, int (*)(ImGuiInputTextCallbackData*), void*)
  0.01    100.86     0.01                             ImGui::CalcTextSize(char const*, char const*, bool, float)
  0.01    100.87     0.01                             ImGui::CalcItemWidth()
  0.01    100.88     0.01                             ImGui::CollapseButton(unsigned int, ImVec2 const&)
  0.01    100.89     0.01                             ImGui::GetDefaultFont()
  0.01    100.90     0.01                             ImGui::GetMainViewport()
